URL,Status,Error
https://goodparty.org/elections/position/mi/grand-traverse-county/local-higher-education-board-community-college-board,,No response received
https://goodparty.org/elections/position/mi/milford/city-executive-mayor,,No response received
https://goodparty.org/elections/position/mi/harrison-community-schools/local-school-board,,No response received
https://goodparty.org/elections/position/mi/bath-community-schools/local-school-board,,No response received
https://goodparty.org/elections/position/mi/webberville-community-schools/local-school-board,,No response received
https://goodparty.org/elections/position/mi/wolverine/city-executive-mayor,,No response received
https://goodparty.org/elections/position/mi/lake-fenton-community-schools/local-school-board,,No response received
https://goodparty.org/elections/position/mi/prescott/city-treasurer-finance-officer,,No response received
https://goodparty.org/elections/position/mi/huron-school-district/local-school-board,,No response received
https://goodparty.org/elections/position/mi/belding-area-school-district/local-school-board,,No response received
