URL,Status,Error
https://goodparty.org/elections/position/pa/cochranton/city-tax-collector-receiver,,No response received
https://goodparty.org/elections/position/pa/meyersdale/city-legislature,,No response received
https://goodparty.org/elections/position/pa/port-matilda/city-tax-collector-receiver,,No response received
https://goodparty.org/elections/position/pa/elizabeth/city-legislature,,No response received
https://goodparty.org/elections/position/pa/susquehanna-county/harmony-township/township-tax-collector-receiver,,No response received
https://goodparty.org/elections/position/pa/greene-county/gray-township/township-tax-collector-receiver,,No response received
https://goodparty.org/elections/position/pa/cumberland-county/dickinson-township/township-tax-collector-receiver,,No response received
https://goodparty.org/elections/position/pa/lancaster-county/west-lampeter-township/township-tax-collector-receiver,,No response received
https://goodparty.org/elections/position/pa/midland/city-executive-mayor,,No response received
https://goodparty.org/elections/position/pa/braddock-hills/city-executive-mayor,,No response received
https://goodparty.org/elections/position/pa/mifflin-county/county-register-of-wills/recorder-of-deeds/clerk-of-orphans-court-joint,404,
https://goodparty.org/elections/position/pa/indiana-county/county-register-of-wills/recorder-of-deeds/clerk-of-orphans-court-joint,404,
https://goodparty.org/elections/position/pa/venango-county/county-register-of-wills/recorder-of-deeds/clerk-of-orphans-court-joint,404,
