URL,Status,Error
https://goodparty.org/elections/position/al/tuskegee/city-legislature,,No response received
https://goodparty.org/elections/position/al/cullman-county-school-district/local-school-board,,No response received
https://goodparty.org/elections/position/al/muscle-shoals/city-legislature,,No response received
https://goodparty.org/elections/position/al/springville/city-legislature,,No response received
https://goodparty.org/elections/position/al/fayette-county/county-legislature-executive-board,,No response received
https://goodparty.org/elections/position/al/gulf-shores/city-legislature,,No response received
https://goodparty.org/elections/position/al/brighton/city-legislature,,No response received
https://goodparty.org/elections/position/al/oak-grove/city-legislature,,No response received
https://goodparty.org/elections/position/al/mobile/city-legislature,,No response received
https://goodparty.org/elections/position/al/piedmont/city-legislature,,No response received
